item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Brimstone ring,4,297799,25696831,1.158893872944878,74449.75,08-18-2025
Quetzal feed,13,296004,5711730,5.1823878229538165,22769.53846153846,08-11-2025
Vile ashes,20,291719,1717311,16.986963922085167,14585.95,08-14-2025
Cooked karambwan,6,290442,19963730,1.4548483675144874,48407,08-14-2025
Diamond dragon bolts (e),5,283559,23434986,1.2099815207911795,56711.8,08-15-2025
Varrock teleport,17,278595,24624060,1.1313934420237768,16387.941176470587,08-15-2025
Smoke rune,10,277591,6912927,4.015534953573211,27759.1,08-18-2025
Zamorak d'hide boots,9,273841,4987861,5.490148983702634,30426.777777777777,08-14-2025
Mithril bar,7,270436,45826670,0.5901279756962484,38633.71428571428,08-15-2025
Toxic staff (uncharged),7,268831,80748649,0.33292321708069694,38404.42857142857,08-20-2025
Rune dart,9,268071,12677632,2.114519493861314,29785.666666666668,08-15-2025
Justiciar armour set,2,267895,52935438,0.5060787444509292,133947.5,08-15-2025
Dark crab,8,266282,12423648,2.1433479119820524,33285.25,08-19-2025
Impling jar,5,260981,22363055,1.167018549120413,52196.2,08-08-2025
Steel dart tip,7,259350,5577655,4.649803546472487,37050,08-11-2025
Blood shard,6,257955,71426636,0.3611467856333035,42992.5,08-20-2025
Blood essence,9,255446,18331313,1.3934953813728455,28382.88888888889,08-10-2025
Zamorakian hasta,10,250975,21247252,1.1812115750309735,25097.5,08-18-2025
Sanfew serum(4),19,250134,201054061,0.12441131442751609,13164.947368421053,08-19-2025
Divine bastion potion(4),2,248721,8762295,2.8385371640648938,124360.5,08-17-2025
Berserker ring,3,243077,37276497,0.6520918529442292,81025.66666666667,08-18-2025
Dragon arrow(p++),4,241901,11007927,2.1975163897798375,60475.25,08-07-2025
Archers ring,7,236116,43274766,0.5456205124251856,33730.857142857145,08-15-2025
Bracelet of slaughter,11,235955,7796286,3.0265051846481774,21450.454545454544,08-17-2025
Dharok's armour set,8,222114,67596569,0.3285876832003115,27764.25,08-20-2025
Bow string,13,221500,8188250,2.7050957164229232,17038.46153846154,08-18-2025
Divine ranging potion(4),5,221290,12800665,1.728738311642403,44258,08-17-2025
Abyssal whip,4,219116,57383730,0.38184342495686496,54779,08-20-2025
Ring of the gods,10,217469,13734707,1.583353762115202,21746.9,08-18-2025
Bandos godsword,2,216078,30364983,0.7116025719494063,108039,08-20-2025
Eternal boots,7,214211,44435110,0.4820759980114824,30601.571428571428,08-18-2025
Bones to peaches,17,209959,4815808,4.359787599505628,12350.529411764706,08-18-2025
Earth impling jar,12,208644,10333047,2.01919143501428,17387,08-20-2025
Ardougne teleport,22,207865,8737379,2.3790315150573185,9448.40909090909,08-16-2025
Bandos godsword ornament kit,2,206703,7826026,2.6412255722125124,103351.5,08-18-2025
Dragon crossbow,9,204008,73493582,0.27758614350842226,22667.555555555555,08-20-2025
Berserker necklace,5,200506,27026944,0.7418744790383995,40101.2,08-15-2025
Ahrim's armour set,4,199592,14412833,1.3848214296245573,49898,08-14-2025
Twisted buckler,1,199104,15430084,1.2903623855839021,199104,08-14-2025
Teleport to house,32,197689,145654151,0.13572493378510028,6177.78125,08-20-2025
Accursed sceptre (au),6,196592,21693125,0.9062410325852085,32765.333333333332,08-18-2025
Teak logs,9,195430,8069845,2.4217317680822865,21714.444444444445,08-20-2025
Blue moon tassets,5,192843,15131275,1.274466295801246,38568.6,08-09-2025
Tormented bracelet,2,187349,34940818,0.5361895076411777,93674.5,08-15-2025
Bandos d'hide boots,9,186418,3411445,5.464487922273406,20713.11111111111,08-08-2025
Dragon warhammer,2,186412,34384075,0.542146327914885,93206,08-15-2025
