First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-08-22T23:34:10Z,2025-08-22T23:59:46Z,1000tomax,Law rune,FINISHED,18000,18000,111,114,36000,18000,1
2025-08-22T23:35:08Z,2025-08-22T23:46:55Z,1000tomax,Ranarr seed,FINISHED,82,82,28813,29603,48544,16236,198
2025-08-22T22:55:38Z,2025-08-22T23:38:46Z,1000tomax,Sanfew serum(4),FINISHED,1687,1687,18886,19334,651182,104619,62
2025-08-22T23:32:28Z,2025-08-22T23:34:25Z,1000tomax,Primordial boots,FINISHED,1,1,24740847,25327820,506556,80417,80417
2025-08-22T23:16:18Z,2025-08-22T23:32:16Z,1000tomax,Stamina potion(4),FINISHED,2000,2000,9320,9551,382000,80000,40
2025-08-22T23:02:50Z,2025-08-22T23:32:02Z,1000tomax,Occult necklace,FINISHED,4,4,446030,457414,36591,8945,2236
2025-08-22T23:02:24Z,2025-08-22T23:15:40Z,1000tomax,Amethyst dart,FINISHED,11000,11000,419,444,88000,187000,17
2025-08-22T22:51:52Z,2025-08-22T23:10:36Z,1000tomax,Mokhaiotl waystone,FINISHED,40,40,157485,164122,131280,134200,3355
2025-08-22T22:47:07Z,2025-08-22T22:57:41Z,1000tomax,Mahogany logs,FINISHED,11000,11000,340,349,66000,33000,3
2025-08-22T22:43:35Z,2025-08-22T22:46:26Z,1000tomax,Irit potion (unf),FINISHED,784,784,2232,2343,36064,50960,65
2025-08-22T22:26:17Z,2025-08-22T22:46:03Z,1000tomax,Uncut ruby,FINISHED,10000,10000,1146,1179,230000,100000,10
2025-08-22T22:36:51Z,2025-08-22T22:44:54Z,1000tomax,Extended anti-venom+(4),FINISHED,401,401,18748,19462,155989,130325,325
2025-08-22T22:30:55Z,2025-08-22T22:44:45Z,1000tomax,Mokhaiotl waystone,FINISHED,60,60,156822,164781,197700,279840,4664
2025-08-22T22:11:28Z,2025-08-22T22:43:20Z,1000tomax,Trouver parchment,FINISHED,10,10,617388,633021,126595,29735,2973
2025-08-22T22:33:15Z,2025-08-22T22:41:53Z,1000tomax,Blood rune,FINISHED,25000,25000,198,203,100000,25000,1
2025-08-22T21:21:16Z,2025-08-22T22:38:03Z,1000tomax,Monkfish,FINISHED,2033,2033,577,571,22363,-34561,-17
2025-08-22T21:28:24Z,2025-08-22T22:32:19Z,1000tomax,Revenant ether,FINISHED,30000,30000,176,180,90000,51194,1
2025-08-22T22:24:24Z,2025-08-22T22:26:03Z,1000tomax,Ghrazi rapier,FINISHED,1,1,37762746,38666814,773336,130732,130732
2025-08-22T22:01:13Z,2025-08-22T22:22:10Z,1000tomax,Teleport to house,FINISHED,15000,15000,542,548,0,98322,6
